day,mililiter,liter
0,0,0
1,344,0.344
2,0,0
3,0,0
4,0,0
5,329,0.329
6,0,0
7,0,0
8,498,0.498
9,0,0
10,0,0
11,446,0.446
12,0,0
13,0,0
14,446,0.446
15,0,0
16,0,0
17,572,0.572
18,0,0
19,0,0
20,0,0
21,581,0.581
22,0,0
23,769,0.769
24,0,0
25,638,0.638
26,0,0
27,647,0.647
28,0,0
29,992,0.992
30,0,0
31,911,0.911
32,0,0
33,892,0.892
34,0,0
35,920,0.92
36,1098,1.098
37,1168,1.168
38,1120,1.12
39,1105,1.105
40,1099,1.099
41,1132,1.132
42,1037,1.037
43,1353,1.353
44,1236,1.236
45,1282,1.282
46,1222,1.222
47,1202,1.202
48,1277,1.277
49,1396,1.396
50,1479,1.479
51,1516,1.516
52,1470,1.47
53,1557,1.557
54,1589,1.589
55,1599,1.599
56,1510,1.51
57,1575,1.575
58,1445,1.445
59,1443,1.443
60,1573,1.573
61,1551,1.551
62,1492,1.492
63,1572,1.572
64,1572,1.572
65,1586,1.586
66,1457,1.457
67,1495,1.495
68,1485,1.485
69,1411,1.411
70,1490,1.49
71,1416,1.416
72,1517,1.517
73,1457,1.457
74,1424,1.424
75,1517,1.517
76,1541,1.541
77,1472,1.472
78,1540,1.54
79,1532,1.532
80,1510,1.51
81,1579,1.579
82,1471,1.471
83,1454,1.454
84,1569,1.569
85,1441,1.441
86,1598,1.598
87,1494,1.494
88,1582,1.582
89,1516,1.516
90,1578,1.578
91,1520,1.52
92,1542,1.542
93,1532,1.532
94,1424,1.424
95,1544,1.544
