Hora,Temperatura,CO2,PAR,PPFD,,,,,
0,18,350,0,0,,,,,
1,18,350,0,0,,,,,
2,18,350,0,0,,,,,
3,18,350,0,0,,,,,
4,18,400,650,700,,,,,
5,18,400,650,700,,,,,
6,19,400,650,700,,,,,
7,19,400,650,700,,,,,
8,20,400,650,700,,,,,
9,20,400,650,700,,,,,
10,20,400,650,700,,,,,
11,20,400,650,700,,,,,
12,22,400,650,700,,,,,
13,22,400,650,700,,,,,
14,22,400,650,700,,,,,
15,22,400,650,700,,,,,
16,22,400,650,700,,,,,
17,22,400,650,700,,,,,
18,22,400,650,700,,,,,
19,20,400,650,700,,,,,
20,20,400,650,700,,,,,
21,20,350,0,0,,,,,
22,20,350,0,0,,,,,
23,20,350,0,0,,,,,
