cycle,stagesSTAGE,stage_durationstagesSTAGE,water_by_stagestagesSTAGE,ratio,yield_water,yield_water_s,yield_water_by_stagestagesSTAGE
624,Stage1,25,11.549999999999997,0.9999999999999997,0.0,1.0,1.0
1368,Stage2,56,28.891999999999985,0.9999999999999996,0.0,1.0,1.0
624,Stage1,25,11.549999999999997,0.9999999999999997,0.0,1.0,1.0
1368,Stage2,56,28.891999999999985,0.9999999999999996,0.0,1.0,1.0
624,Stage1,25,11.549999999999997,0.9999999999999997,0.0,1.0,1.0
624,Stage1,25,11.549999999999997,0.9999999999999997,0.0,1.0,1.0
624,Stage1,25,11.549999999999997,0.9999999999999997,0.0,1.0,1.0
1368,Stage2,56,28.891999999999985,0.9999999999999996,0.0,1.0,1.0
624,Stage1,25,11.549999999999997,0.9999999999999997,0.0,1.0,1.0
1368,Stage2,56,28.891999999999985,0.9999999999999996,0.0,1.0,1.0
3600,Stage3,110,97.85399999999981,0.5150210526315779,0.2352045793905827,0.8031314261528547,0.8031314261528547
624,Stage1,25,11.549999999999997,0.9999999999999997,0.0,1.0,1.0
1368,Stage2,56,28.891999999999985,0.9999999999999996,0.0,1.0,1.0
3600,Stage3,110,97.85399999999981,0.5150210526315779,0.2352045793905827,0.8031314261528547,0.8031314261528547
624,Stage1,25,11.549999999999997,0.9999999999999997,0.0,1.0,1.0
1368,Stage2,56,28.891999999999985,0.9999999999999996,0.0,1.0,1.0
3600,Stage3,110,97.85399999999981,0.5150210526315779,0.2352045793905827,0.8031314261528547,0.8031314261528547
624,Stage1,25,11.549999999999997,0.9999999999999997,0.0,1.0,1.0
1368,Stage2,56,28.891999999999985,0.9999999999999996,0.0,1.0,1.0
3600,Stage3,110,97.85399999999981,0.5150210526315779,0.2352045793905827,0.8031314261528547,0.8031314261528547
624,Stage1,25,11.549999999999997,0.9999999999999997,0.0,1.0,1.0
1368,Stage2,56,28.891999999999985,0.9999999999999996,0.0,1.0,1.0
3600,Stage3,110,97.85399999999981,0.5150210526315779,0.2352045793905827,0.8031314261528547,0.8031314261528547

